City,city_population,density,pct_men,pct_women,pct_hispanic,pct_white,pct_black,pct_native,pct_asian,pct_pacific,pct_unemployed,pct_professional,pct_service,pct_office,pct_construction,pct_production,pct_drive,pct_carpool,pct_transit,pct_walk,pct_other_transportation,pct_work_at_home,pct_private_work,pct_public_work,pct_self_employed,pct_family_work,avg_income,income_error,income_per_cap,income_per_cap_err,mean_commute,covid_cases_per_100k,LTM_mean_temp,LTM_mean_percipitation,LTM_min_temp,LTM_max_temp,age29andunder_pct,age65andolder_pct,rural_pct,ruralurban_cc,rep_pct,dem_pct,crime_per_100,avg_propty_tax
"Memphis, Tennessee",651073,792,47.645938,52.354062,6.1,36.5,53.2,0.1,2.5,0,8.6,35.1,18,24.7,6.8,15.3,83.3,9.4,1.3,1.3,1.4,3.2,81.4,13.4,5.1,0.1,48415,621,28117,331,22.9,3621.059725,61.9,66.48,52.2,71.6,43.02393836,11.64729613,2.75978716,1,34.48425084,61.94502983,0.130476217,4266.476165
"Bartlett, Tennessee",59440,710,47.645938,52.354062,6.1,36.5,53.2,0.1,2.5,0,8.6,35.1,18,24.7,6.8,15.3,83.3,9.4,1.3,1.3,1.4,3.2,81.4,13.4,5.1,0.1,48415,621,28117,331,22.9,3621.059725,61.9,66.48,52.2,71.6,43.02393836,11.64729613,2.75978716,1,34.48425084,61.94502983,0.040356448,4266.476165
"Baltimore, Maryland",593490,2830,47.0117587,52.9882413,5,27.6,62.3,0.2,2.6,0,10,42.1,20.7,21.8,5.3,10,60,9.1,18.2,6.6,2.3,3.8,76.6,19.5,3.8,0.1,46641,774,28488,407,30.7,3819.207055,57.8,54.75,49.1,66.5,42.00016103,12.29098229,0,1,10.52831639,84.65802291,0.115386349,4647.7953
"Milwaukee, Wisconsin",590157,2369,48.3787135,51.6212865,14.6,52.2,26.1,0.5,4.1,0,7.1,36,19.8,22.9,5.9,15.4,76.5,9.2,5.7,3.6,1.6,3.4,84.7,11.6,3.6,0.1,46784,479,26933,227,22.4,3819.207055,48.5,39.72,39.9,57.1,43.36872165,12.16196695,0.192036804,1,28.58531688,65.59885701,0.10161559,6300.184862
"West Allis, Wisconsin",59890,2031,48.3787135,51.6212865,14.6,52.2,26.1,0.5,4.1,0,7.1,36,19.8,22.9,5.9,15.4,76.5,9.2,5.7,3.6,1.6,3.4,84.7,11.6,3.6,0.1,46784,479,26933,227,22.4,1275.088723,48.5,39.72,39.9,57.1,43.36872165,12.16196695,0.192036804,1,28.58531688,65.59885701,0.083535369,6300.184862
"Albuquerque, New Mexico",560513,1155,49.0094909,50.9905091,49.5,39.5,2.5,4,2.3,0.1,6.7,40.2,19.9,23.9,8.3,7.7,80.2,9.1,1.8,1.9,2.5,4.4,74.3,19.8,5.7,0.2,50386,670,28340,388,21.9,2657.613697,54.9,10.2,40.3,69.5,40.18720259,14.16141925,4.195519225,2,34.47801298,52.21581435,0.131281478,3859.203414
"Tucson, Arizona",548073,889,49.2142522,50.7857478,36.6,52.6,3.2,2.4,2.6,0.1,8.4,36.4,21.5,24.9,8.7,8.5,76.5,10,2.7,2.3,3.6,4.8,75.7,17.6,6.5,0.2,48676,534,27323,309,24.5,3059.542041,69.1,10.16,53.6,84.5,40.0873883,17.80177767,7.523491145,2,39.70875628,53.28265819,0.139630906,3944.385795
"Fresno, California",531576,1789,49.8825668,50.1174332,52.4,30.2,4.7,0.4,9.9,0.1,10.4,29.1,19.6,23,14.8,13.5,78.1,12.2,1.2,1.6,2.5,4.3,74.8,18.4,6.6,0.2,48730,655,22234,215,22.4,3059.542041,57.1,13.38,44.3,69.9,47.65521824,11.20530338,10.80520178,2,43.9393027,50.06428898,0.088968334,4233.608964
"Clovis, California",114584,1741,49.8825668,50.1174332,52.4,30.2,4.7,0.4,9.9,0.1,10.4,29.1,19.6,23,14.8,13.5,78.1,12.2,1.2,1.6,2.5,4.3,74.8,18.4,6.6,0.2,48730,655,22234,215,22.4,1617.694262,57.1,13.38,44.3,69.9,47.65521824,11.20530338,10.80520178,2,43.9393027,50.06428898,0.06177182,4233.608964
"Sacramento, California",513624,2029,48.861843,51.138157,22.8,45.7,9.5,0.4,15.1,1.1,8.8,38.4,19.6,24.8,7.9,9.3,77.1,10.4,2.7,1.9,2.4,5.5,71.5,21.3,6.9,0.2,60239,475,29693,258,26.9,1617.694262,64.1,10.76,50.5,77.7,41.6172514,12.7941594,2.062112169,1,33.93148946,58.28813044,0.075049467,4645.200563
"Elk Grove, California",174775,1605,48.861843,51.138157,22.8,45.7,9.5,0.4,15.1,1.1,8.8,38.4,19.6,24.8,7.9,9.3,77.1,10.4,2.7,1.9,2.4,5.5,71.5,21.3,6.9,0.2,60239,475,29693,258,26.9,1617.694262,64.1,10.76,50.5,77.7,41.6172514,12.7941594,2.062112169,1,33.93148946,58.28813044,0.04109927,4645.200563
"Citrus Heights, California",87796,2381,48.861843,51.138157,22.8,45.7,9.5,0.4,15.1,1.1,8.8,38.4,19.6,24.8,7.9,9.3,77.1,10.4,2.7,1.9,2.4,5.5,71.5,21.3,6.9,0.2,60239,475,29693,258,26.9,1617.694262,64.1,10.76,50.5,77.7,41.6172514,12.7941594,2.062112169,1,33.93148946,58.28813044,0.064050752,4645.200563
