index,city_population,county_population,density,pct_men,pct_women,pct_hispanic,pct_white,pct_black,pct_native,pct_asian,pct_pacific,pct_unemployed,pct_professional,pct_service,pct_office,pct_construction,pct_production,pct_drive,pct_carpool,pct_transit,pct_walk,pct_other_transportation,pct_work_at_home,pct_private_work,pct_public_work,pct_self_employed,pct_family_work,avg_income,income_error,income_per_cap,income_per_cap_err,mean_commute,covid_cases_per_100k,LTM_mean_temp,LTM_mean_percipitation,LTM_min_temp,LTM_max_temp,age29andunder_pct,age65andolder_pct,rural_pct,ruralurban_cc,rep_pct,dem_pct,crime_per_100,avg_propty_tax
588,77617,150341,805,48.6101596,51.3898404,6.6,57.5,29.7,0.3,3.0,0.0,7.8,35.2,18.0,23.9,11.4,11.5,86.2,10.0,0.0,0.6,1.3,1.9,66.2,29.7,3.9,0.1,55965,2162,26305,691,21.4,3207.36918,66.6,72.58,55.2,78.0,42.80694932,11.79787712,9.962115797,3,58.97235307,37.53890711,0.112381157,2791.085563
589,77503,108126,546,50.223813,49.776187,4.8,80.5,1.1,8.0,1.1,0.1,4.2,32.1,19.7,27.5,11.3,9.3,83.0,7.9,0.4,3.2,1.3,4.1,80.7,13.1,6.0,0.1,52245,1085,28910,771,17.3,2202.26172,46.2,15.18,33.3,59.1,39.83671643,15.37307312,20.80179895,3,62.42590537,29.47866703,0.08456525,4662.457442
590,77330,173231,1100,48.6789316,51.3210684,4.7,79.8,8.0,0.1,5.1,0.0,3.9,43.4,16.9,25.1,5.8,8.8,80.6,9.0,1.6,4.0,1.2,3.6,82.7,13.4,3.8,0.1,64573,1837,32943,688,18.0,2202.26172,51.8,41.04,42.1,61.5,46.42374779,11.40810602,16.49682731,3,46.64245005,45.33851068,0.040803706,5725.674831
591,54469,173231,1149,48.6789316,51.3210684,4.7,79.8,8.0,0.1,5.1,0.0,3.9,43.4,16.9,25.1,5.8,8.8,80.6,9.0,1.6,4.0,1.2,3.6,82.7,13.4,3.8,0.1,64573,1837,32943,688,18.0,3023.606744,51.8,41.04,42.1,61.5,46.42374779,11.40810602,16.49682731,3,46.64245005,45.33851068,0.044848991,5725.674831
592,77273,214049,577,48.2090549,51.7909451,6.6,73.6,15.5,0.4,1.5,0.0,8.3,30.4,17.4,24.3,9.8,18.2,85.3,9.3,0.3,0.8,1.0,3.3,84.1,10.8,4.9,0.1,46626,1212,24937,686,25.4,3415.666757,61.4,63.87,50.6,72.2,37.70950116,15.0174968,19.64762284,1,64.08520082,32.33088944,0.110571998,3261.240707
593,76760,195101,1915,49.4513098,50.5486902,12.7,72.7,10.7,0.3,1.2,0.0,5.8,32.4,17.1,23.2,8.5,18.7,84.1,8.2,1.4,1.7,1.2,3.4,85.7,10.1,4.1,0.1,58334,1215,29582,535,24.2,1508.303453,48.3,43.75,39.4,57.2,38.0581199,14.72240895,12.2779006,3,49.51611018,45.16163301,0.066339697,5295.424917
594,76653,211960,1169,48.4298924,51.5701076,6.7,86.6,2.6,0.1,2.5,0.0,5.4,35.1,17.2,24.8,8.3,14.7,80.8,10.4,0.9,3.3,0.8,3.7,82.8,12.2,4.8,0.2,48380,1117,27258,551,20.9,1556.7871300000002,48.1,43.47,39.2,57.0,36.08208219,18.80040938,16.30548833,2,46.76770801,50.2464816,0.058452195,5172.523285
595,76200,259830,1192,48.9731748,51.026825200000005,4.7,78.0,10.6,0.2,2.4,0.0,6.6,39.3,19.0,22.6,6.1,13.0,82.4,7.5,1.5,2.9,1.6,4.1,83.2,10.8,5.8,0.2,51945,978,29258,598,20.3,1652.151086,49.7,38.39,40.7,58.6,44.82125249,13.49587208,17.54716755,2,40.40728747,53.16589997,0.082043891,5004.356059000001
596,75522,488694,1282,48.3609375,51.6390625,18.4,54.5,23.9,0.2,1.3,0.0,8.5,30.0,19.1,23.5,9.5,17.8,83.8,7.9,2.8,1.2,1.7,2.6,85.5,11.0,3.4,0.1,52559,814,26590,389,28.3,2576.049634,50.7,39.45,41.1,60.2,39.49189092,14.59511781,3.96810516,1,37.58604408,58.11734301,0.073737517,3574.6768090000005
597,74879,488694,581,48.3609375,51.6390625,18.4,54.5,23.9,0.2,1.3,0.0,8.5,30.0,19.1,23.5,9.5,17.8,83.8,7.9,2.8,1.2,1.7,2.6,85.5,11.0,3.4,0.1,52559,814,26590,389,28.3,1323.63369,50.7,39.45,41.1,60.2,39.49189092,14.59511781,3.96810516,1,37.58604408,58.11734301,0.094406227,3574.6768090000005
